Run,Program Version,User,Time Started (UTC),Time Finished (UTC),Minutes Spent,Position,Points,answerScale,workSetting,Please enter the time you are starting this survey (njg1zai),TimeStart,Please enter what type of position you hold in your organization: (7dfjc8c),Q1: We stay connected as a team (jmf81fl),Q2: Our team meetings and discussions are effective (j4qxktr),Q3: We have enough autonomy to perform our jobs effectively (k9zva4g),Q4: I know how my work contributes to the mission of my organization (sp2u299),Q5: I feel I am part of a team (ptrg9vs),Q6: Other units collaborate effectively with us to get the job done (uyldfu2),Q7: My supervisor helps me feel valued at my organization (eh68eka),Q8: There is open and honest two-way communication with my supervisor (a1h9boh),Q9: We are encouraged to be innovative even if success is not guaranteed (eghp99c),Q10: I feel comfortable being my authentic self at work (bawv4xt),Q11: I feel valued for the unique contribution I can make to my organization (swn9pla),Q12: I feel safe to take risks and fail within my organization (7f3jrn8),Q13: People on my team care about me as a person (cz4vt46),Q14: People on my team share information with each other (k11krym),Q15: My supervisor listens to what I have to say (6gofkl5),Q16: My supervisor is available when I need them (klitn56),Q17: I have measurable goals that are clearly explained (2f086v5),Q18: I achieve a good balance between my work life and my private life (znr9703),Q19: I feel valued as an employee (nrgz8gy),Q20: I receive recognition for doing good work (6jdeezh),Q21: I am treated fairly at work (c4ypi0v),"Q22: Based on your experience over the past two years, which work setting do you find works best for *you*? (w7dfag3)","Q23: Based on your experience over the past two years, which work setting do you find works best for promoting *healthy work relationships*? (5pxaww1)","Q24: Based on your experience over the past two years, which work setting do you find works best for promoting *a healthy work culture* within your team? (a0th5z8)",Q25: Please enter up to three words or phrases that you associate with *healthy work relationships* (n1nc571),Q26: Please enter up to three words or phrases that you associate with a healthy work culture (nrepezj),Please enter the time you are completing this survey (dg4le6z),TimeEnd,Ok. Would you like to do this again or are you done? (f6znlsp),Please enter what type of position you hold in your organization: (gqc27r2)
7120997,26,,2022-03-05 01:33:47,2022-03-05 01:39:18,5.50,kw1iqwb,0,"[[""Strongly agree"",1],[""Agree"",2],[""Neither agree nor disagree"",3],[""Disagree"",3],[""Strongly disagree"",4]]","[[""Completely in-office"",1],[""Completely remote"",2],[""A hybrid of the two"",3]]",5:33 PM,5:33 PM,,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,"WORKING WITH A GOOD TEAM,HELPING EACH OTHER,BEING NINE TO EACH OTHER","UNDERSTANDING,LISTEN TO EACH OTHER,WORK",5:39 PM,5:39 PM,,Prefer not to say
7124863,26,,2022-03-07 15:58:36,,0.00,ndeoneq,0,"[[""Strongly agree"",1],[""Agree"",2],[""Neither agree nor disagree"",3],[""Disagree"",3],[""Strongly disagree"",4]]","[[""Completely in-office"",1],[""Completely remote"",2],[""A hybrid of the two"",3]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7125035,26,,2022-03-07 17:08:59,2022-03-07 17:13:45,4.77,kw1iqwb,0,"[[""Strongly agree"",1],[""Agree"",2],[""Neither agree nor disagree"",3],[""Disagree"",3],[""Strongly disagree"",4]]","[[""Completely in-office"",1],[""Completely remote"",2],[""A hybrid of the two"",3]]",9:09 AM,9:09 AM,,4,3,4,3,3,4,3,3,3,4,3,4,1,3,3,4,3,4,3,4,3,3,3,1,NCOs listened to by officers,Awards due since we are not paid,9:13 AM,9:13 AM,,Manager / Supervisor
7125463,26,,2022-03-07 20:08:13,,1.57,21bhau8,0,"[[""Strongly agree"",1],[""Agree"",2],[""Neither agree nor disagree"",3],[""Disagree"",3],[""Strongly disagree"",4]]","[[""Completely in-office"",1],[""Completely remote"",2],[""A hybrid of the two"",3]]",12:08 PM | 12:08 PM,12:08 PM,,3 | 2,3,3,1,2,,,,,,,,,,,,,,,,,,,,,,,,,Manager / Supervisor | Manager / Supervisor
7125466,26,,2022-03-07 20:10:19,2022-03-07 20:16:43,6.38,kw1iqwb,0,"[[""Strongly agree"",1],[""Agree"",2],[""Neither agree nor disagree"",3],[""Disagree"",3],[""Strongly disagree"",4]]","[[""Completely in-office"",1],[""Completely remote"",2],[""A hybrid of the two"",3]]",12:10 PM,12:10 PM,,3,3,2,1,3,3,3,2 | 3,3,3,2 | 3,3,2,3,2,2 | 1,2,3 | 2,3,3 | 3,2,1,1,3,"Loyalty,Compassion,Trust,Commitment","Organizational Citizenship,Respect,Appreciation",12:16 PM,12:16 PM,,Manager / Supervisor
7125641,26,,2022-03-07 21:42:38,2022-03-07 21:47:33,4.92,kw1iqwb,0,"[[""Strongly agree"",1],[""Agree"",2],[""Neither agree nor disagree"",3],[""Disagree"",3],[""Strongly disagree"",4]]","[[""Completely in-office"",1],[""Completely remote"",2],[""A hybrid of the two"",3]]",1:42 PM,1:42 PM,,2,2,2,2,2,2,1,1,2,2,2,2,2,2,1,1,2,2,2,2,2,1,1,1,"Friendly,Respectful,Focused","Friendly,Respectful,Focused",1:47 PM,1:47 PM,,Team Member
7134122,26,,2022-03-10 22:07:32,,0.00,ndeoneq,0,"[[""Strongly agree"",1],[""Agree"",2],[""Neither agree nor disagree"",3],[""Disagree"",3],[""Strongly disagree"",4]]","[[""Completely in-office"",1],[""Completely remote"",2],[""A hybrid of the two"",3]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7134123,26,,2022-03-10 22:07:32,,0.53,g22nix1,0,"[[""Strongly agree"",1],[""Agree"",2],[""Neither agree nor disagree"",3],[""Disagree"",3],[""Strongly disagree"",4]]","[[""Completely in-office"",1],[""Completely remote"",2],[""A hybrid of the two"",3]]",2:07 PM,2:07 PM,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manager / Supervisor
7134240,26,,2022-03-10 22:33:19,,0.00,ndeoneq,0,"[[""Strongly agree"",1],[""Agree"",2],[""Neither agree nor disagree"",3],[""Disagree"",3],[""Strongly disagree"",4]]","[[""Completely in-office"",1],[""Completely remote"",2],[""A hybrid of the two"",3]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7134474,26,,2022-03-10 23:42:52,2022-03-10 23:46:13,3.35,kw1iqwb,0,"[[""Strongly agree"",1],[""Agree"",2],[""Neither agree nor disagree"",3],[""Disagree"",3],[""Strongly disagree"",4]]","[[""Completely in-office"",1],[""Completely remote"",2],[""A hybrid of the two"",3]]",3:42 PM,3:42 PM,,2,3,2,1,1,3,2,2,3,1,2,1,1,2,2,2 | 3,3,4,2,2,2,3,3,3,Relationships,Relationships,3:46 PM,3:46 PM,,Executive
7134542,26,,2022-03-11 00:10:22,2022-03-11 00:17:59,7.60,kw1iqwb,0,"[[""Strongly agree"",1],[""Agree"",2],[""Neither agree nor disagree"",3],[""Disagree"",3],[""Strongly disagree"",4]]","[[""Completely in-office"",1],[""Completely remote"",2],[""A hybrid of the two"",3]]",4:12 PM,4:12 PM,,1,2,3,1,1,2,3,3,3,2,2,4,1,2,2,2,2,3,2,3,1,3,3,3,"trust,honesty,respect",Team collboration,4:17 PM,4:17 PM,,Manager / Supervisor
7134606,26,,2022-03-11 00:33:14,2022-03-11 00:37:02,3.78,kw1iqwb,0,"[[""Strongly agree"",1],[""Agree"",2],[""Neither agree nor disagree"",3],[""Disagree"",3],[""Strongly disagree"",4]]","[[""Completely in-office"",1],[""Completely remote"",2],[""A hybrid of the two"",3]]",4:33 PM,4:33 PM,,2,2,2,1,1,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,3,3,3,"Trust,Understanding,Open Communication | Trust,Understanding,Open Communication","Respect,Accountability,Openess",4:37 PM,4:37 PM,,Manager / Supervisor
7134716,26,,2022-03-11 01:13:40,2022-03-11 01:16:36,2.93,kw1iqwb,0,"[[""Strongly agree"",1],[""Agree"",2],[""Neither agree nor disagree"",3],[""Disagree"",3],[""Strongly disagree"",4]]","[[""Completely in-office"",1],[""Completely remote"",2],[""A hybrid of the two"",3]]",5:13 PM,5:13 PM,,2,1,3,1,1,2,1,1,2,1,1,1,2,1,1,1,3,2,2,2,1,1,3,3,"Communication,Trust,Empowerment","Collaboration,Positivity,Engaging",5:16 PM,5:16 PM,,Manager / Supervisor
7134816,26,,2022-03-11 01:51:03,2022-03-11 01:54:11,3.12,kw1iqwb,0,"[[""Strongly agree"",1],[""Agree"",2],[""Neither agree nor disagree"",3],[""Disagree"",3],[""Strongly disagree"",4]]","[[""Completely in-office"",1],[""Completely remote"",2],[""A hybrid of the two"",3]]",5:51 PM,5:51 PM,,1,1,1,1,1,2,1,1,2,1,1,1 | 2,2,3,1,1,2,3,2,1,1,3,3,2,"productivity,sense of accomplishment,ability to handle personal tasks as needed","the right assignments for the right team members,showing interest in the work being done,expressing the value of the work being done",5:54 PM,5:54 PM,,Manager / Supervisor
7135252,26,,2022-03-11 05:48:17,,0.00,ndeoneq,0,"[[""Strongly agree"",1],[""Agree"",2],[""Neither agree nor disagree"",3],[""Disagree"",3],[""Strongly disagree"",4]]","[[""Completely in-office"",1],[""Completely remote"",2],[""A hybrid of the two"",3]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7135253,26,,2022-03-11 05:48:18,2022-03-11 05:53:43,5.40,kw1iqwb,0,"[[""Strongly agree"",1],[""Agree"",2],[""Neither agree nor disagree"",3],[""Disagree"",3],[""Strongly disagree"",4]]","[[""Completely in-office"",1],[""Completely remote"",2],[""A hybrid of the two"",3]]",9:48 PM,9:48 PM,,1,1,1,1,1,3,2,1,1,1,1,3,1,1,1,1,1,2,2,3,3,2,2,2,"happiness, resilience and authenticity",Honesty and mutual trust,9:53 PM,9:53 PM,,Manager / Supervisor
7136381,26,,2022-03-11 16:43:23,2022-03-11 16:56:52,13.47,kw1iqwb,0,"[[""Strongly agree"",1],[""Agree"",2],[""Neither agree nor disagree"",3],[""Disagree"",3],[""Strongly disagree"",4]]","[[""Completely in-office"",1],[""Completely remote"",2],[""A hybrid of the two"",3]]",8:44 AM,8:44 AM,,2,1,1,1,1,1,1,1,2,3,1,3,2,2,2,1,2,3,2,2,1,3,3,3,"Trust.,Work-Life Balance.,Team agreement","Positive work environment,Reduced/minimal Stress,Work-Life balance",8:56 AM,8:56 AM,,Team Member | Manager / Supervisor
7136382,26,,2022-03-11 16:43:30,,0.00,ndeoneq,0,"[[""Strongly agree"",1],[""Agree"",2],[""Neither agree nor disagree"",3],[""Disagree"",3],[""Strongly disagree"",4]]","[[""Completely in-office"",1],[""Completely remote"",2],[""A hybrid of the two"",3]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7136423,26,,2022-03-11 16:58:52,,0.00,ndeoneq,0,"[[""Strongly agree"",1],[""Agree"",2],[""Neither agree nor disagree"",3],[""Disagree"",3],[""Strongly disagree"",4]]","[[""Completely in-office"",1],[""Completely remote"",2],[""A hybrid of the two"",3]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7136566,26,,2022-03-11 17:49:53,,0.00,ndeoneq,0,"[[""Strongly agree"",1],[""Agree"",2],[""Neither agree nor disagree"",3],[""Disagree"",3],[""Strongly disagree"",4]]","[[""Completely in-office"",1],[""Completely remote"",2],[""A hybrid of the two"",3]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7136702,26,,2022-03-11 18:40:37,2022-03-11 18:43:53,3.25,kw1iqwb,0,"[[""Strongly agree"",1],[""Agree"",2],[""Neither agree nor disagree"",3],[""Disagree"",3],[""Strongly disagree"",4]]","[[""Completely in-office"",1],[""Completely remote"",2],[""A hybrid of the two"",3]]",12:40 PM,12:40 PM,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,"professionalism, reliability, communication","professionalism,communication,dependability",12:43 PM,12:43 PM,,Manager / Supervisor
7136733,26,,2022-03-11 18:48:18,2022-03-11 20:40:16,111.95,kw1iqwb,0,"[[""Strongly agree"",1],[""Agree"",2],[""Neither agree nor disagree"",3],[""Disagree"",3],[""Strongly disagree"",4]]","[[""Completely in-office"",1],[""Completely remote"",2],[""A hybrid of the two"",3]]",12:36 PM,12:36 PM,,2,2,1,2,2,2,2,1,1,1,2,2,2,2,2,2,3,2,2,2,2,3,3,3,"flexibility,open communication,feedback",open communication,12:40 PM,12:40 PM,,Manager / Supervisor
7139668,26,,2022-03-13 17:17:18,,0.02,njg1zai,0,"[[""Strongly agree"",1],[""Agree"",2],[""Neither agree nor disagree"",3],[""Disagree"",3],[""Strongly disagree"",4]]","[[""Completely in-office"",1],[""Completely remote"",2],[""A hybrid of the two"",3]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7145354,26,,2022-03-15 16:12:17,,0.00,ndeoneq,0,"[[""Strongly agree"",1],[""Agree"",2],[""Neither agree nor disagree"",3],[""Disagree"",3],[""Strongly disagree"",4]]","[[""Completely in-office"",1],[""Completely remote"",2],[""A hybrid of the two"",3]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7145356,26,,2022-03-15 16:13:21,2022-03-15 16:16:41,3.33,kw1iqwb,0,"[[""Strongly agree"",1],[""Agree"",2],[""Neither agree nor disagree"",3],[""Disagree"",3],[""Strongly disagree"",4]]","[[""Completely in-office"",1],[""Completely remote"",2],[""A hybrid of the two"",3]]",9:13 AM,9:13 AM,,2,2,2,2,2,2,2,3,3,2,3,3,3,2,3,2,3,3,3,3,2,2,2,2,Successful outcomes with smiles,Team building,9:16 AM,9:16 AM,,Manager / Supervisor
7149859,26,,2022-03-17 20:26:20,,0.00,ndeoneq,0,"[[""Strongly agree"",1],[""Agree"",2],[""Neither agree nor disagree"",3],[""Disagree"",3],[""Strongly disagree"",4]]","[[""Completely in-office"",1],[""Completely remote"",2],[""A hybrid of the two"",3]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7151035,27,,2022-03-18 15:28:42,2022-03-18 15:35:28,7.03,yoqej1s,0,"[[""Strongly agree"",1],[""Agree"",2],[""Neither agree nor disagree"",3],[""Disagree"",4],[""Strongly disagree"",5]]","[[""Completely in-office"",1],[""Completely remote"",2],[""A hybrid of the two"",3]]",8:28 AM,8:28 AM,,4,3,4,1,4,2,5,5,4,5,5,5,3,3,3,3 | 3,3,1,5,2,5,3,3,3,being honest about your action,honest,8:35 AM,8:35 AM,,Team Member | Team Member
7177451,27,,2022-03-29 16:57:00,2022-03-29 17:03:29,6.47,kw1iqwb,0,"[[""Strongly agree"",1],[""Agree"",2],[""Neither agree nor disagree"",3],[""Disagree"",4],[""Strongly disagree"",5]]","[[""Completely in-office"",1],[""Completely remote"",2],[""A hybrid of the two"",3]]",11:00 PM,11:00 PM,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,"accept, respect & communication",respect,11:05 PM,11:05 PM,,Team Member
7187280,27,,2022-03-31 15:04:36,,2.63,thc924j,0,"[[""Strongly agree"",1],[""Agree"",2],[""Neither agree nor disagree"",3],[""Disagree"",4],[""Strongly disagree"",5]]","[[""Completely in-office"",1],[""Completely remote"",2],[""A hybrid of the two"",3]]",8:04 AM,8:04 AM,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,Manager / Supervisor
7239958,27,,2022-04-18 23:53:41,,0.00,ndeoneq,0,"[[""Strongly agree"",1],[""Agree"",2],[""Neither agree nor disagree"",3],[""Disagree"",4],[""Strongly disagree"",5]]","[[""Completely in-office"",1],[""Completely remote"",2],[""A hybrid of the two"",3]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
